symbol,date,num
1,1-May-2020,3494.8461822074587
1,1-Jun-2020,6282.833583354068
1,1-Jul-2020,7541.055277290132
1,1-Aug-2020,9594.086365483618
1,1-Sep-2020,10912.989610408755
2,1-May-2020,6319.376661697566
2,1-Jun-2020,8022.365641121586
2,1-Jul-2020,8783.332058477195
2,1-Aug-2020,12826.464762008578
2,1-Sep-2020,11685.660797736708
3,1-May-2020,7374.306951201915
3,1-Jun-2020,8146.669935548219
3,1-Jul-2020,9113.721218054245
3,1-Aug-2020,13170.639217380969
3,1-Sep-2020,13739.634906886851
4,1-May-2020,10205.642431055108
4,1-Jun-2020,11487.22715024461
4,1-Jul-2020,10434.523458524545
4,1-Aug-2020,14523.00605408954
4,1-Sep-2020,16070.75993753997
5,1-May-2020,10331.311392332003
5,1-Jun-2020,11781.530389036827
5,1-Jul-2020,11402.374578975452
5,1-Aug-2020,14848.310933399009
5,1-Sep-2020,16350.554678864399
6,1-May-2020,10744.285223456991
6,1-Jun-2020,12486.389349196786
6,1-Jul-2020,13089.790032929803
6,1-Aug-2020,15203.983121738223
6,1-Sep-2020,16679.092553361344
7,1-May-2020,11009.255269428582
7,1-Jun-2020,13018.667839671543
7,1-Jul-2020,13752.100436006218
7,1-Aug-2020,15560.628842199189
7,1-Sep-2020,16917.33880725818
8,1-May-2020,11169.668224251529
8,1-Jun-2020,13281.467375542245
8,1-Jul-2020,14023.610295238785
8,1-Aug-2020,15999.507540433418
8,1-Sep-2020,17303.14924097529
9,1-May-2020,11420.928908730571
9,1-Jun-2020,13592.505536022663
9,1-Jul-2020,15194.131028500304
9,1-Aug-2020,16223.112317922834
9,1-Sep-2020,17446.171201855148
10,1-May-2020,11798.914193967643
10,1-Jun-2020,13696.129860580515
10,1-Jul-2020,15245.366941756552
10,1-Aug-2020,16512.458438101778
10,1-Sep-2020,18284.18595902424
11,1-May-2020,12076.476346424679
11,1-Jun-2020,14422.206533591816
11,1-Jul-2020,15331.492641182474
11,1-Aug-2020,16751.17922745897
11,1-Sep-2020,18483.990020854002
12,1-May-2020,12510.547001981748
12,1-Jun-2020,15214.661448430536
12,1-Jul-2020,15737.156951808936
12,1-Aug-2020,18157.96221392386
12,1-Sep-2020,18892.694857036393
13,1-May-2020,12640.667098648999
13,1-Jun-2020,15386.454171059353
13,1-Jul-2020,16169.241391147418
13,1-Aug-2020,18197.548884369367
13,1-Sep-2020,19258.417593831855
14,1-May-2020,12692.522629312067
14,1-Jun-2020,15692.993685646728
14,1-Jul-2020,16849.206466573778
14,1-Aug-2020,18654.64472698491
14,1-Sep-2020,19491.671787957588
15,1-May-2020,12947.658708619281
15,1-Jun-2020,15786.927567403167
15,1-Jul-2020,16914.128826325606
15,1-Aug-2020,18880.203369333816
15,1-Sep-2020,20379.951611015178
16,1-May-2020,13461.258789463918
16,1-Jun-2020,16053.317985056323
16,1-Jul-2020,16941.70034143717
16,1-Aug-2020,19761.890692969762
16,1-Sep-2020,21303.50800059055
17,1-May-2020,13605.613422332108
17,1-Jun-2020,16107.524022736126
17,1-Jul-2020,17045.46683255209
17,1-Aug-2020,19904.171025253843
17,1-Sep-2020,21606.81078471108
18,1-May-2020,14681.330990015671
18,1-Jun-2020,16135.348031147554
18,1-Jul-2020,17170.024989023263
18,1-Aug-2020,20418.292767908897
18,1-Sep-2020,22704.545014402738
19,1-May-2020,14709.691933940976
19,1-Jun-2020,16537.134952170458
19,1-Jul-2020,18454.83681980191
19,1-Aug-2020,20559.4346041526
19,1-Sep-2020,23045.89112744464
20,1-May-2020,14927.268678300472
20,1-Jun-2020,16624.128090497125
20,1-Jul-2020,18749.951138054697
20,1-Aug-2020,20741.971236762118
20,1-Sep-2020,23495.62757995191
21,1-May-2020,15131.06468253162
21,1-Jun-2020,16837.877095468346
21,1-Jul-2020,20147.18275620917
21,1-Aug-2020,22473.154591599654
21,1-Sep-2020,23573.162174238652
22,1-May-2020,15226.580883638682
22,1-Jun-2020,17244.666756185234
22,1-Jul-2020,21268.859310644122
22,1-Aug-2020,22911.577166658004
22,1-Sep-2020,23740.939458597084
23,1-May-2020,15513.234619777242
23,1-Jun-2020,18251.101645252493
23,1-Jul-2020,21378.9782223569
23,1-Aug-2020,23741.297115552585
23,1-Sep-2020,23748.84040650736
24,1-May-2020,16371.009975429553
24,1-Jun-2020,19078.962122175068
24,1-Jul-2020,21530.72248430789
24,1-Aug-2020,24023.15754442496
24,1-Sep-2020,23856.107877885766
25,1-May-2020,16555.922261573563
25,1-Jun-2020,19521.53368824037
25,1-Jul-2020,22737.398685401913
25,1-Aug-2020,24556.594037176157
25,1-Sep-2020,23908.773559300433
26,1-May-2020,17073.464697577703
26,1-Jun-2020,20242.810252807627
26,1-Jul-2020,23335.058288243294
26,1-Aug-2020,25198.196923117186
26,1-Sep-2020,25273.412035091274
27,1-May-2020,17274.186240905397
27,1-Jun-2020,22882.968876895717
27,1-Jul-2020,24304.350728535075
27,1-Aug-2020,26490.507317972013
27,1-Sep-2020,27160.337876990976
28,1-May-2020,17336.30484482168
28,1-Jun-2020,24121.296811811662
28,1-Jul-2020,26253.195917248766
28,1-Aug-2020,26669.894822134716
28,1-Sep-2020,27822.721822899264
29,1-May-2020,20997.330437753924
29,1-Jun-2020,24574.66320435112
29,1-Jul-2020,26301.284182625783
29,1-Aug-2020,28549.573026538772
29,1-Sep-2020,31682.006431930964
30,1-May-2020,24244.739870310426
30,1-Jun-2020,25455.006721995698
30,1-Jul-2020,31383.023441195197
30,1-Aug-2020,28767.079872864393
30,1-Sep-2020,35386.19937002813
